idx,ylossParam4At2,ylossParam4At4,ylossParam4At6,ylossParam4var,remnant_energy_loss_fraction,shadowing_factor,tau_form_mean,BG,string_source_sigma_x,string_source_sigma_eta,stringTransverseShiftFrac,shear_viscosity_3_eta_over_s_T_kink_in_GeV,shear_viscosity_3_eta_over_s_low_T_slope_in_GeV,shear_viscosity_3_eta_over_s_high_T_slope_in_GeV,shear_viscosity_3_eta_over_s_at_kink,bulk_viscosity_3_zeta_over_s_max,bulk_viscosity_3_zeta_over_s_T_peak_in_GeV,bulk_viscosity_3_zeta_over_s_width_in_GeV,bulk_viscosity_3_zeta_over_s_lambda_asymm,eps_switch
143,0.81,1.66,1.782,0.377,0.959,0.445,0.5944,10.441,0.4308,0.2155,0.115,0.23659,-0.197,0.053,0.13293,0.19601,0.18138,0.13662,0.4138,0.1195
144,0.614,3.524,2.202,0.119,0.389,0.609,0.748,4.967,0.2116,0.4199,0.757,0.26685,-0.953,1.661,0.15953,0.13825,0.27282,0.03238,0.257,0.1045
145,0.842,1.46,2.982,0.839,0.465,0.261,0.292,4.323,0.2868,0.6957,0.857,0.18491,-1.967,-0.853,0.10025,0.15877,0.15654,0.07712,-0.1434,0.1095
146,0.51,0.66,1.686,0.017,0.793,0.521,0.332,10.947,0.3276,0.3051,0.805,0.16111,0.739,0.455,0.01475,0.07251,0.12054,0.10087,-0.079,0.3615
147,0.67,3.3,1.734,0.231,0.197,0.141,0.7576,10.119,0.4636,0.5809,0.637,0.14071,-1.103,1.571,0.02805,0.02387,0.19326,0.13787,0.2766,0.3745
148,1.438,2.044,5.154,0.349,0.041,0.699,0.3272,10.717,0.434,0.3219,0.461,0.28453,0.607,-0.745,0.08087,0.17815,0.22206,0.07537,-0.2218,0.1235
149,0.918,1.74,5.97,0.549,0.423,0.911,0.7144,2.529,0.2212,0.3723,0.477,0.17505,-1.307,1.409,0.18803,0.18613,0.2307,0.09912,0.285,0.5995
150,0.074,0.916,0.018,0.247,0.127,0.711,0.5928,23.735,0.374,0.3625,0.575,0.21279,0.289,0.497,0.14699,0.05997,0.17166,0.12613,-0.4598,0.2325
151,1.95,2.572,5.91,0.997,0.141,0.823,0.2472,18.675,0.1276,0.5655,0.573,0.20973,-0.725,-0.589,0.16485,0.06795,0.14178,0.07412,-0.1322,0.2015
152,0.878,3.772,4.53,0.447,0.123,0.459,0.5272,23.045,0.4492,0.7601,0.153,0.14139,-0.185,1.877,0.05275,0.04477,0.13854,0.08038,-0.317,0.4185
153,0.29,3.996,4.194,0.339,0.995,0.825,0.6936,5.841,0.186,0.7643,0.129,0.27841,-1.271,0.575,0.08239,0.10747,0.2721,0.08088,-0.5662,0.5145
154,1.574,1.012,3.294,0.855,0.973,0.673,0.7256,11.821,0.322,0.3583,0.797,0.24815,-1.163,-0.811,0.11925,0.08695,0.1785,0.12887,0.1226,0.5745
155,0.97,0.612,1.854,0.709,0.553,0.649,0.5352,18.077,0.442,0.3653,0.369,0.16587,0.955,0.767,0.15649,0.06909,0.21054,0.05088,-0.779,0.4935
156,0.87,0.636,3.162,0.987,0.209,0.507,0.932,14.305,0.4996,0.5081,0.407,0.28555,-1.775,-0.085,0.07935,0.03831,0.18822,0.06538,-0.023,0.1305
157,0.182,2.932,1.662,0.661,0.341,0.329,0.5688,18.767,0.2724,0.3247,0.641,0.14717,-1.895,-0.409,0.13255,0.07593,0.2919,0.05263,0.5146,0.1265
158,0.558,0.908,5.214,0.653,0.529,0.193,0.2744,12.741,0.1924,0.5123,0.569,0.13425,-1.757,1.517,0.01665,0.19639,0.20046,0.08013,0.0134,0.4045
159,1.866,2.396,4.854,0.747,0.195,0.039,0.5048,7.497,0.4836,0.6481,0.723,0.22299,-0.995,0.005,0.08961,0.10405,0.22962,0.07512,-0.1602,0.5925
160,1.35,3.388,0.858,0.611,0.653,0.509,0.3848,18.905,0.1052,0.1595,0.759,0.25733,-0.359,1.385,0.03983,0.15839,0.15474,0.07838,0.3942,0.1185
161,0.894,3.636,5.106,0.081,0.161,0.879,0.6104,16.421,0.1396,0.1469,0.331,0.20531,-0.095,-0.055,0.14129,0.12267,0.28974,0.10862,-0.3282,0.2165
162,1.43,3.084,1.866,0.829,0.685,0.463,0.3176,12.511,0.3516,0.3933,0.919,0.22333,0.871,-0.943,0.12913,0.14091,0.13674,0.03613,0.4894,0.5225
163,1.114,3.34,2.886,0.761,0.771,0.955,0.8856,24.057,0.3332,0.3457,0.687,0.24747,-0.071,0.857,0.18651,0.16675,0.29586,0.09263,-0.0902,0.2885
164,1.214,0.268,0.078,0.833,0.061,0.839,0.3768,9.153,0.278,0.7685,0.969,0.18185,-0.887,-0.445,0.13749,0.09455,0.1947,0.07237,0.2682,0.5295
165,1.794,0.62,4.494,0.069,0.015,0.457,0.2936,9.521,0.218,0.7853,0.397,0.25461,-0.029,0.263,0.12267,0.14965,0.29694,0.07612,0.1478,0.1865
166,0.406,0.532,1.266,0.167,0.755,0.503,0.7288,20.929,0.1364,0.3415,0.487,0.18151,-0.149,1.829,0.12229,0.01171,0.20874,0.12787,-0.6894,0.3345
167,1.174,2.42,4.83,0.075,0.841,0.363,0.6712,2.437,0.2804,0.5837,0.099,0.13561,-0.803,1.319,0.14623,0.16865,0.18102,0.06588,0.145,0.4745
168,0.138,1.084,4.254,0.223,0.329,0.187,0.2952,4.645,0.35,0.1049,0.751,0.19341,-0.317,-0.511,0.19259,0.03717,0.19866,0.04662,0.2738,0.5645
169,0.438,2.82,4.23,0.019,0.921,0.227,0.7592,16.099,0.3572,0.7517,0.825,0.19817,-1.985,-0.013,0.03793,0.11545,0.18282,0.11963,-0.6726,0.3785
170,0.398,2.364,5.514,0.227,0.323,0.535,0.3976,17.295,0.3788,0.5949,0.545,0.15363,-0.545,-0.877,0.06111,0.03223,0.16266,0.14713,-0.1518,0.1245
171,1.662,3.02,1.878,0.967,0.371,0.033,0.6808,13.293,0.1116,0.7979,0.371,0.20055,-0.707,1.121,0.04933,0.14927,0.17778,0.03037,0.4222,0.3825
172,1.374,1.34,5.286,0.721,0.863,0.951,0.7976,19.595,0.2388,0.1007,0.945,0.23523,-1.019,0.527,0.15497,0.14509,0.13386,0.04487,0.3186,0.5605
173,1.158,0.18,0.594,0.015,0.929,0.821,0.4632,10.395,0.1716,0.4661,0.883,0.28147,0.277,1.259,0.13331,0.02843,0.20514,0.04688,-0.7398,0.3755
174,0.754,0.044,2.694,0.011,0.399,0.403,0.4904,9.981,0.2748,0.2995,0.005,0.21517,-1.031,-0.691,0.12419,0.18993,0.29838,0.14213,-0.2162,0.4585
175,0.47,2.084,1.554,0.751,0.087,0.307,0.9256,3.909,0.1372,0.3009,0.299,0.16451,0.271,1.595,0.05883,0.08619,0.1641,0.02888,-0.4318,0.1335
176,0.394,0.388,4.482,0.977,0.039,0.791,0.9592,15.409,0.3916,0.3989,0.681,0.24543,-1.367,1.727,0.10861,0.11469,0.17634,0.13962,-0.7062,0.1085
177,1.994,1.132,2.406,0.951,0.783,0.651,0.2664,24.103,0.1596,0.4801,0.445,0.26753,-0.899,0.155,0.15915,0.04135,0.23898,0.12063,0.4922,0.3915
178,1.558,2.22,4.014,0.791,0.549,0.075,0.3528,19.917,0.2396,0.7727,0.075,0.21653,-1.811,0.887,0.13711,0.01893,0.19038,0.05413,-0.2078,0.2955
179,1.326,2.284,0.222,0.527,0.855,0.163,0.5576,13.247,0.462,0.6355,0.607,0.22979,-1.493,1.085,0.17891,0.18841,0.28362,0.04788,-0.2134,0.5015
180,1.714,0.228,3.21,0.805,0.373,0.723,0.3784,15.179,0.2844,0.3681,0.285,0.19477,0.991,-0.985,0.03185,0.12647,0.28218,0.09687,-0.7258,0.2405
181,1.77,2.548,1.074,0.705,0.915,0.297,0.796,15.731,0.1628,0.1637,0.251,0.18321,-0.863,-0.733,0.18461,0.02919,0.21342,0.05313,-0.233,0.1535
182,0.874,2.532,5.718,0.121,0.905,0.491,0.38,20.699,0.3212,0.6537,0.049,0.18695,0.193,0.995,0.17777,0.10291,0.1893,0.14388,-0.4962,0.4155
183,1.986,2.844,3.39,0.621,0.925,0.355,0.4568,6.301,0.3116,0.7657,0.683,0.21993,0.403,1.373,0.11887,0.02539,0.28938,0.09438,0.0638,0.2115
184,0.294,3.252,1.086,0.261,0.171,0.769,0.9992,19.825,0.3484,0.4031,0.905,0.16519,-0.395,0.083,0.05655,0.06529,0.20982,0.14913,0.5034,0.5035
185,0.806,0.604,0.39,0.135,0.049,0.747,0.2792,11.315,0.2988,0.4367,0.563,0.29405,-1.037,0.689,0.10063,0.17397,0.14682,0.03988,-0.3842,0.5885
186,1.366,0.06,0.114,0.453,0.937,0.575,0.876,24.931,0.2932,0.1973,0.507,0.23353,-1.331,-0.217,0.10899,0.01475,0.18678,0.03713,-0.3954,0.3175
187,1.402,3.62,3.918,0.609,0.059,0.105,0.5128,4.875,0.334,0.2701,0.125,0.17369,0.841,-0.067,0.11393,0.19221,0.26922,0.10062,0.5426,0.1835
188,0.698,3.46,3.006,0.115,0.097,0.273,0.612,16.835,0.3892,0.1805,0.033,0.24985,-1.865,0.449,0.15155,0.05161,0.14934,0.13562,0.5118,0.5355
189,1.038,0.244,2.706,0.981,0.147,0.169,0.4104,3.541,0.3852,0.3135,0.443,0.16383,0.475,-0.007,0.16789,0.10785,0.28758,0.11538,-0.4486,0.5245
190,0.57,1.636,2.082,0.909,0.121,0.985,0.6008,23.597,0.362,0.1931,0.931,0.19749,-1.187,1.937,0.11165,0.17777,0.20838,0.07988,-0.135,0.5545
191,0.07,0.844,5.694,0.083,0.747,0.053,0.3624,15.823,0.4796,0.5025,0.539,0.19953,-0.203,0.659,0.04401,0.07745,0.22998,0.04337,0.4082,0.1505
192,0.922,1.98,4.098,0.911,0.577,0.543,0.9464,12.097,0.3868,0.6299,0.791,0.20191,0.199,0.251,0.13673,0.13863,0.25302,0.02688,-0.7034,0.3355
193,1.006,3.98,2.226,0.391,0.543,0.325,0.6376,16.329,0.314,0.6817,0.923,0.22775,-0.275,-0.799,0.02615,0.07061,0.15438,0.10912,0.0918,0.3895
194,1.686,3.492,5.226,0.293,0.639,0.281,0.9048,22.493,0.15,0.3877,0.013,0.23013,-0.827,-0.343,0.19221,0.14281,0.1533,0.04713,-0.7146,0.3975
195,1.506,2.268,0.294,0.743,0.527,0.003,0.708,9.429,0.3628,0.5683,0.087,0.20871,0.595,1.415,0.19145,0.17891,0.15582,0.12238,0.425,0.1895
196,0.454,0.396,2.19,0.307,0.409,0.885,0.8504,3.725,0.4828,0.7195,0.097,0.23421,-1.547,-0.769,0.09341,0.02159,0.28074,0.11613,0.1422,0.1645
197,1.398,2.436,2.61,0.341,0.027,0.207,0.6952,21.067,0.1028,0.7307,0.785,0.20735,-1.601,-0.331,0.17169,0.09721,0.21018,0.06862,0.4754,0.5765
198,0.598,2.46,1.638,0.639,0.191,0.133,0.9688,14.075,0.3876,0.3709,0.065,0.25767,-0.431,-0.463,0.18499,0.19335,0.2703,0.14563,-0.247,0.3005
199,0.534,3.26,5.622,0.013,0.441,0.517,0.492,11.223,0.1316,0.5865,0.193,0.25597,-1.841,1.745,0.17435,0.19297,0.17742,0.04913,0.4054,0.2515
200,0.078,2.444,1.23,0.305,0.135,0.697,0.46,17.663,0.1876,0.5095,0.979,0.13935,-0.767,0.299,0.16371,0.16333,0.29946,0.04813,-0.2862,0.4885
201,0.402,1.884,3.186,0.667,0.897,0.761,0.7016,18.031,0.498,0.5907,0.525,0.13493,0.715,1.367,0.04173,0.18385,0.13242,0.09712,-0.5186,0.3275
202,1.262,2.764,2.634,0.835,0.279,0.737,0.6488,20.883,0.1756,0.4745,0.217,0.21891,0.463,0.617,0.01817,0.06985,0.2577,0.11638,-0.2358,0.1515
203,1.01,3.876,0.978,0.179,0.239,0.867,0.2328,8.003,0.242,0.5165,0.997,0.17913,0.763,-0.103,0.04515,0.04971,0.13746,0.05788,0.3578,0.5935
204,1.37,3.796,3.642,0.983,0.807,0.767,0.348,6.853,0.2412,0.5487,0.843,0.21381,-0.485,1.973,0.14813,0.09911,0.23322,0.06263,0.159,0.1155
205,0.622,0.572,5.178,0.205,0.349,0.071,0.8536,21.711,0.2292,0.4479,0.337,0.15839,-0.605,-0.109,0.19943,0.02653,0.22674,0.02988,-0.3058,0.4565
206,0.122,3.228,2.514,0.655,0.291,0.549,0.236,9.705,0.2796,0.7391,0.019,0.29269,-1.637,-0.025,0.03869,0.03299,0.20298,0.04938,-0.0958,0.4725
207,0.21,0.404,0.678,0.239,0.347,0.781,0.508,23.689,0.282,0.1525,0.879,0.26209,0.643,-0.247,0.08315,0.14053,0.27354,0.04312,-0.0594,0.5235
208,1.854,2.516,1.158,0.097,0.669,0.835,0.3448,2.069,0.4508,0.1707,0.609,0.24611,-0.467,1.097,0.15041,0.08087,0.17814,0.09213,-0.5606,0.5525
209,1.582,3.204,4.218,0.641,0.733,0.203,0.4696,7.267,0.3884,0.3471,0.117,0.13697,-1.277,-0.661,0.04249,0.02805,0.13278,0.06912,0.229,0.1355
210,1.886,2.324,1.134,0.733,0.889,0.483,0.8952,14.535,0.2828,0.2309,0.403,0.17811,-1.925,1.361,0.02007,0.16295,0.28326,0.11213,0.2206,0.5485
211,1.722,0.884,0.042,0.633,0.799,0.653,0.636,3.771,0.1556,0.6915,0.389,0.27807,0.187,-0.715,0.13407,0.16561,0.12162,0.05462,-0.1546,0.5475
212,1.27,1.348,4.638,0.467,0.023,0.293,0.5384,12.971,0.4812,0.2183,0.171,0.18627,-1.181,-0.907,0.02919,0.13445,0.24186,0.14313,0.0386,0.2145
213,1.09,0.38,3.702,0.149,0.277,0.223,0.2312,14.121,0.338,0.6803,0.763,0.28215,-0.425,0.587,0.14167,0.08353,0.25662,0.09787,0.509,0.4815
214,1.818,3.172,0.378,0.321,0.079,0.943,0.8984,3.449,0.3644,0.6005,0.743,0.17063,-0.845,0.287,0.18271,0.13103,0.1839,0.14138,-0.3422,0.2435
215,1.518,1.228,5.502,0.369,0.109,0.793,0.6568,22.861,0.2484,0.5417,0.897,0.18049,0.613,-0.775,0.04325,0.11203,0.26598,0.14012,0.4726,0.3245
216,0.734,3.604,3.786,0.109,0.077,0.949,0.9976,23.367,0.2076,0.2855,0.707,0.23591,-1.991,1.445,0.03147,0.03679,0.1695,0.08238,-0.2554,0.3365
217,0.574,2.004,2.538,0.673,0.175,0.831,0.4024,7.865,0.1164,0.1847,0.357,0.23931,0.103,-0.895,0.01627,0.13483,0.25842,0.05338,0.3242,0.4865
218,0.142,3.516,5.646,0.479,0.703,0.843,0.7464,21.021,0.43,0.7769,0.859,0.18389,-0.959,0.341,0.10405,0.10101,0.16158,0.13537,-0.303,0.5755
219,1.99,2.132,0.522,0.071,0.951,0.339,0.9208,13.523,0.2716,0.2925,0.795,0.15159,0.565,-0.043,0.07631,0.12495,0.21738,0.07262,0.4698,0.1885
220,0.086,1.564,2.97,0.773,0.071,0.137,0.6216,22.815,0.1972,0.4227,0.111,0.14309,0.385,0.851,0.19525,0.17739,0.1587,0.06688,-0.6586,0.4125
221,1.55,1.42,4.542,0.519,0.403,0.167,0.3352,21.619,0.3756,0.5011,0.221,0.27433,-1.109,-0.457,0.07441,0.18575,0.1713,0.08663,-0.7678,0.4965
222,0.538,0.9,5.322,0.325,0.229,0.143,0.5896,3.495,0.4772,0.1287,0.415,0.27263,-0.053,0.599,0.17815,0.02501,0.2487,0.08813,0.0078,0.2665
223,0.946,2.18,1.242,0.815,0.113,0.657,0.8776,10.165,0.3468,0.2421,0.987,0.27943,0.727,0.845,0.09189,0.09607,0.18534,0.11288,0.5286,0.3165
224,1.046,3.908,1.29,0.599,0.979,0.303,0.388,13.707,0.4436,0.7923,0.697,0.27705,-1.337,-0.529,0.08543,0.08961,0.1443,0.06112,-0.3814,0.2685
225,1.39,1.732,1.722,0.421,0.215,0.685,0.9496,4.185,0.2556,0.4297,0.713,0.21347,-1.613,0.365,0.02881,0.16371,0.12018,0.12987,0.537,0.4415
226,1.498,2.828,2.934,0.221,0.461,0.861,0.9832,13.063,0.3956,0.4927,0.059,0.14989,0.901,-0.721,0.06529,0.11925,0.2451,0.10787,0.5622,0.5305
227,0.858,2.188,4.35,0.863,0.715,0.813,0.8008,8.969,0.494,0.4003,0.617,0.15907,-0.785,0.647,0.16295,0.04743,0.14898,0.05538,0.551,0.1025
228,1.05,2.292,4.782,0.279,0.559,0.847,0.6248,20.193,0.4444,0.6187,0.799,0.26549,-0.341,1.211,0.17245,0.10519,0.24114,0.12013,0.327,0.1605
229,1.65,1.068,0.234,0.211,0.351,0.437,0.212,6.531,0.29,0.6467,0.949,0.14037,0.973,-0.475,0.09683,0.16105,0.25698,0.14163,-0.387,0.3125
230,1.25,1.204,0.186,0.763,0.971,0.153,0.836,9.567,0.2276,0.3807,0.241,0.28861,-0.821,-0.019,0.09911,0.06073,0.27462,0.10887,-0.6866,0.3055
231,0.774,0.876,4.122,0.233,0.545,0.689,0.4456,4.507,0.3996,0.2015,0.093,0.17947,-1.055,0.311,0.07707,0.01247,0.14502,0.11238,-0.0622,0.4095
232,1.834,3.676,4.746,0.473,0.149,0.993,0.2088,11.131,0.1356,0.4717,0.793,0.17029,-1.289,1.535,0.15079,0.09531,0.23862,0.07963,-0.7202,0.4135
233,1.682,2.62,4.698,0.663,0.719,0.989,0.3432,14.719,0.3004,0.6047,0.877,0.15227,-0.893,-0.823,0.01247,0.17093,0.21954,0.12962,-0.0118,0.3505
234,0.326,0.508,2.85,0.343,0.335,0.561,0.9064,14.673,0.4604,0.5893,0.899,0.19103,0.241,1.919,0.09265,0.19183,0.23286,0.09987,0.4446,0.2245
235,1.026,3.38,5.994,0.777,0.665,0.927,0.6984,15.455,0.4148,0.1063,0.021,0.19239,-1.451,-0.253,0.16029,0.13369,0.21666,0.06663,-0.3982,0.4385
236,1.786,0.252,2.43,0.785,0.737,0.551,0.3752,2.805,0.4652,0.6719,0.367,0.21619,0.097,1.433,0.08505,0.03261,0.14718,0.12862,0.3298,0.5905
237,1.774,3.932,1.038,0.345,0.891,0.741,0.3704,24.609,0.2188,0.3023,0.045,0.29779,-1.529,0.869,0.15687,0.08543,0.22818,0.06013,-0.065,0.4695
238,1.138,2.9,2.622,0.439,0.001,0.569,0.7416,3.035,0.4948,0.2981,0.343,0.19375,-1.649,1.739,0.06947,0.13977,0.18894,0.10612,-0.1294,0.5165
239,1.394,2.772,0.966,0.367,0.469,0.937,0.7544,12.281,0.2228,0.1483,0.351,0.23965,-1.859,0.911,0.02691,0.18689,0.15042,0.02963,-0.3646,0.2065
240,0.426,3.348,3.858,0.297,0.681,0.007,0.4072,2.253,0.454,0.2603,0.511,0.22061,-1.487,1.871,0.11089,0.17435,0.2361,0.13087,-0.0818,0.2825
241,1.202,3.868,3.234,0.669,0.879,0.041,0.9224,9.659,0.4708,0.6887,0.933,0.21823,-1.883,1.427,0.16599,0.13407,0.25122,0.08363,0.3718,0.2765
242,0.794,3.572,3.942,0.937,0.965,0.631,0.4968,8.831,0.1516,0.4787,0.915,0.28997,-0.683,0.581,0.19563,0.10177,0.15942,0.14738,-0.6502,0.2525
243,0.35,1.988,3.894,0.091,0.993,0.451,0.4312,24.839,0.2172,0.6257,0.583,0.29983,0.811,-0.325,0.10329,0.05237,0.17922,0.11588,0.0106,0.4345
244,1.342,3.82,5.922,0.359,0.709,0.209,0.4392,12.695,0.1764,0.4605,0.567,0.24475,0.085,-0.805,0.11127,0.09645,0.2631,0.09662,-0.513,0.5085
245,1.85,0.132,3.318,0.739,0.585,0.921,0.5912,19.549,0.4348,0.7335,0.895,0.14343,-0.521,1.607,0.06339,0.06833,0.25986,0.06613,0.1282,0.3665
246,0.798,0.276,4.038,0.817,0.151,0.605,0.2008,22.769,0.2268,0.5473,0.061,0.15125,-1.157,0.743,0.04895,0.07365,0.2739,0.12712,-0.5494,0.4575
247,1.71,1.62,4.77,0.689,0.247,0.361,0.5608,7.221,0.1796,0.6789,0.235,0.15431,0.541,1.001,0.03641,0.14813,0.23538,0.03738,-0.7734,0.3295
248,1.694,0.332,1.47,0.199,0.201,0.849,0.9576,24.517,0.4564,0.1147,0.749,0.15397,-1.847,0.317,0.09379,0.08923,0.2271,0.08638,0.005,0.3225
249,1.638,3.236,4.134,0.067,0.225,0.647,0.3224,3.817,0.4916,0.5459,0.709,0.13357,0.127,-0.703,0.12115,0.04097,0.16734,0.12088,-0.569,0.3605
250,1.082,3.364,4.986,0.865,0.165,0.199,0.364,23.413,0.2892,0.6271,0.003,0.29643,-1.079,1.577,0.13445,0.17283,0.21882,0.04163,0.3662,0.3845
251,0.694,3.756,2.73,0.431,0.555,0.905,0.8472,7.727,0.262,0.7559,0.147,0.18763,0.421,0.041,0.18613,0.14547,0.19614,0.03087,-0.6642,0.5315
252,1.042,3.332,2.094,0.559,0.877,0.695,0.8232,19.043,0.4012,0.5109,0.255,0.23897,-1.823,-0.037,0.10177,0.12191,0.13134,0.14238,0.1702,0.4625
253,0.706,2.66,2.91,0.535,0.621,0.317,0.5752,22.217,0.1964,0.1889,0.807,0.27501,-1.439,1.631,0.01779,0.05085,0.21918,0.05013,-0.7286,0.1735
254,1.278,0.372,1.902,0.055,0.705,0.619,0.3032,4.415,0.114,0.2687,0.939,0.23557,-1.127,1.769,0.09493,0.07137,0.24582,0.13587,-0.597,0.5965
255,0.01,1.548,0.474,0.945,0.647,0.579,0.8296,4.461,0.1204,0.2729,0.383,0.29235,-0.017,0.125,0.02501,0.05275,0.12594,0.10537,0.2542,0.4685
256,0.686,3.716,3.426,0.491,0.641,0.621,0.3944,14.903,0.4756,0.1035,0.631,0.17981,0.967,-0.121,0.02083,0.10215,0.20478,0.11713,0.369,0.2905
257,0.782,3.436,3.27,0.719,0.313,0.089,0.9384,17.203,0.406,0.6999,0.745,0.26957,0.091,1.187,0.03717,0.09227,0.12342,0.14813,-0.2302,0.5275
258,1.542,3.044,3.99,0.469,0.761,0.119,0.8872,8.601,0.1124,0.2939,0.993,0.22401,-0.875,1.523,0.14357,0.19145,0.14466,0.06162,0.0554,0.2205
259,0.822,0.468,0.81,0.191,0.435,0.931,0.4536,16.605,0.3508,0.6551,0.869,0.20769,-1.463,1.379,0.04743,0.19981,0.2541,0.12538,-0.415,0.5515
260,1.49,0.436,4.182,0.919,0.365,0.929,0.6648,23.827,0.4244,0.3947,0.185,0.28827,-0.083,0.077,0.07327,0.04895,0.13314,0.14838,-0.4346,0.3335
261,0.582,1.18,3.174,0.643,0.085,0.047,0.2424,24.563,0.2588,0.6327,0.281,0.19409,-0.851,-0.163,0.10785,0.10253,0.1299,0.05238,0.1198,0.1795
262,0.162,2.228,0.03,0.493,0.043,0.669,0.4424,13.937,0.2956,0.6495,0.203,0.14615,-1.871,1.553,0.06605,0.18157,0.13566,0.14763,-0.0734,0.3955
263,0.862,2.252,1.362,0.927,0.881,0.851,0.5208,11.867,0.2284,0.1301,0.035,0.27093,0.061,-0.397,0.08467,0.11431,0.12126,0.08313,-0.0202,0.1675
264,1.666,2.356,1.938,0.093,0.839,0.155,0.8552,18.813,0.3084,0.3555,0.921,0.26481,0.295,0.221,0.02425,0.19677,0.23682,0.06313,-0.6054,0.5825
265,1.45,0.148,2.598,0.375,0.221,0.661,0.5096,16.053,0.222,0.3975,0.989,0.15023,0.043,1.835,0.19373,0.05693,0.2037,0.08338,-0.1098,0.4485
266,0.378,0.212,0.414,0.417,0.637,0.759,0.7176,11.637,0.4028,0.2757,0.871,0.14581,0.925,-0.901,0.17321,0.13635,0.17454,0.11188,-0.3338,0.4255
267,1.126,0.54,2.07,0.315,0.725,0.893,0.6136,3.219,0.2236,0.7265,0.491,0.29133,-0.005,0.245,0.15535,0.07783,0.18174,0.03263,0.3802,0.3545
268,0.27,0.812,1.17,0.059,0.471,0.947,0.8056,3.633,0.4692,0.2169,0.433,0.17607,0.157,1.985,0.05389,0.07479,0.26958,0.07737,0.2374,0.4325
269,1.494,3.092,3.81,0.389,0.645,0.995,0.548,5.795,0.4396,0.6565,0.981,0.25053,0.559,-0.433,0.17929,0.02767,0.23826,0.08938,-0.611,0.4945
270,1.906,3.428,5.37,0.273,0.361,0.719,0.4232,11.775,0.386,0.5739,0.673,0.28895,0.343,0.605,0.09569,0.02045,0.21234,0.04437,0.1562,0.4895
271,0.71,0.068,1.374,0.963,0.495,0.749,0.7432,15.501,0.398,0.7293,0.429,0.21177,-1.541,-0.379,0.12989,0.05617,0.13998,0.03013,-0.3002,0.5425
272,0.354,0.756,2.574,0.989,0.811,0.471,0.5768,19.135,0.2652,0.1371,0.177,0.24135,-0.515,-0.955,0.14205,0.05541,0.22026,0.09463,0.3606,0.2495
273,0.766,0.452,0.006,0.711,0.467,0.765,0.4728,4.093,0.3564,0.2435,0.737,0.28351,-0.257,-0.787,0.02235,0.03603,0.2469,0.05988,-0.2386,0.2475
274,1.466,0.548,5.202,0.245,0.909,0.589,0.9272,8.647,0.3244,0.6453,0.543,0.17471,0.943,0.227,0.05731,0.05731,0.29046,0.11813,-0.5886,0.5065
275,1.294,3.54,3.378,0.895,0.069,0.335,0.5832,2.023,0.226,0.3359,0.893,0.25869,-1.505,-0.151,0.17207,0.13521,0.13926,0.09288,-0.051,0.4925
276,1.898,2.596,3.354,0.487,0.345,0.381,0.5336,10.257,0.1076,0.7055,0.535,0.16689,-1.739,0.407,0.08429,0.16713,0.20586,0.02613,-0.1238,0.1655
277,0.482,3.916,3.882,0.799,0.663,0.693,0.7528,21.251,0.3588,0.4493,0.787,0.14003,0.055,1.565,0.11773,0.07631,0.22242,0.08888,-0.4738,0.2565
278,0.442,2.076,2.238,0.637,0.571,0.991,0.284,24.287,0.4252,0.6425,0.515,0.17743,0.355,0.809,0.14091,0.09113,0.2829,0.10237,0.3634,0.4115
279,0.31,3.892,1.302,0.035,0.551,0.587,0.6408,16.743,0.1236,0.7279,0.595,0.25393,-0.665,1.331,0.18765,0.14205,0.24474,0.14888,-0.2526,0.4775
280,0.338,0.972,1.746,0.841,0.487,0.295,0.6328,7.451,0.1852,0.3429,0.423,0.17301,-1.205,1.889,0.17093,0.17131,0.14538,0.04213,0.4838,0.2345
281,1.738,0.412,2.862,0.555,0.231,0.817,0.7064,5.979,0.3844,0.3835,0.325,0.20837,-0.815,-0.625,0.05807,0.19563,0.24834,0.02763,-0.0762,0.4265
282,1.862,3.556,0.822,0.403,0.689,0.127,0.8184,6.577,0.3732,0.5501,0.315,0.21143,-0.023,1.691,0.03945,0.07935,0.21162,0.11788,-0.289,0.4515
283,1.478,1.9,2.502,0.715,0.691,0.109,0.7304,21.895,0.1348,0.5403,0.711,0.26039,0.547,-0.553,0.15231,0.12951,0.2991,0.04262,-0.4514,0.3675
284,0.206,3.012,1.41,0.215,0.731,0.057,0.5432,8.785,0.1748,0.7041,0.855,0.22911,-1.763,-0.505,0.03071,0.04249,0.25914,0.14288,-0.0174,0.2415
285,0.93,3.444,4.794,0.979,0.569,0.455,0.26,10.855,0.1564,0.2869,0.327,0.13255,0.283,0.173,0.08657,0.09265,0.17886,0.06288,0.3102,0.2635
286,1.658,2.644,2.274,0.287,0.429,0.725,0.7608,2.299,0.2148,0.2715,0.789,0.25665,0.589,-0.619,0.08277,0.03375,0.12738,0.14338,-0.3086,0.4355
287,1.822,2.676,4.11,0.129,0.677,0.665,0.5512,24.747,0.2692,0.4381,0.187,0.19137,-1.583,-0.643,0.09037,0.17853,0.27246,0.10312,0.2934,0.5405
288,1.618,3.116,1.386,0.301,0.133,0.447,0.74,19.227,0.4548,0.5039,0.613,0.29099,0.067,-0.499,0.03831,0.11127,0.17562,0.06937,0.1086,0.5955
